Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,0.03,0.04,0.03,0.03,0.03,18716200
2017-11-10,0.03,0.03,0.03,0.03,0.03,6766780
2017-11-11,0.03,0.03,0.03,0.03,0.03,5532220
2017-11-12,0.03,0.03,0.02,0.02,0.02,7280250
2017-11-13,0.02,0.03,0.02,0.03,0.03,4419440
2017-11-14,0.03,0.03,0.03,0.03,0.03,3033290
2017-11-15,0.03,0.03,0.03,0.03,0.03,6858800
2017-11-16,0.03,0.03,0.03,0.03,0.03,4888130
2017-11-17,0.03,0.03,0.03,0.03,0.03,3578870
2017-11-18,0.03,0.03,0.02,0.03,0.03,2930550
2017-11-19,0.03,0.03,0.03,0.03,0.03,4725050
2017-11-20,0.03,0.03,0.03,0.03,0.03,16172400
2017-11-21,0.03,0.03,0.03,0.03,0.03,5836790
2017-11-22,0.03,0.03,0.03,0.03,0.03,4938480
2017-11-23,0.03,0.03,0.03,0.03,0.03,5132300
2017-11-24,0.03,0.03,0.03,0.03,0.03,5502350
2017-11-25,0.03,0.03,0.03,0.03,0.03,6156460
2017-11-26,0.03,0.04,0.03,0.04,0.04,30527100
2017-11-27,0.04,0.06,0.04,0.05,0.05,77777296
2017-11-28,0.05,0.13,0.05,0.12,0.12,240338000
2017-11-29,0.12,0.15,0.08,0.09,0.09,210624992
2017-11-30,0.09,0.13,0.09,0.12,0.12,124345000
2017-12-01,0.12,0.13,0.11,0.13,0.13,73657600
2017-12-02,0.13,0.14,0.13,0.13,0.13,56712600
2017-12-03,0.13,0.14,0.12,0.13,0.13,46458900
2017-12-04,0.13,0.15,0.13,0.14,0.14,76392704
2017-12-05,0.14,0.14,0.13,0.13,0.13,50381100
2017-12-06,0.13,0.13,0.11,0.12,0.12,75688800
2017-12-07,0.12,0.12,0.11,0.11,0.11,71024600
2017-12-08,0.11,0.12,0.1,0.12,0.12,70092400
2017-12-09,0.11,0.14,0.11,0.12,0.12,63308600
2017-12-10,0.12,0.12,0.1,0.11,0.11,46376600
2017-12-11,0.11,0.12,0.11,0.12,0.12,39513900
2017-12-12,0.12,0.14,0.11,0.13,0.13,60056800
2017-12-13,0.13,0.14,0.12,0.13,0.13,61575000
2017-12-14,0.13,0.24,0.13,0.24,0.24,309307008
2017-12-15,0.23,0.23,0.19,0.21,0.21,207311008
2017-12-16,0.21,0.45,0.2,0.4,0.4,581052032
2017-12-17,0.39,0.59,0.38,0.51,0.51,628142976
2017-12-18,0.51,0.53,0.47,0.52,0.52,253463008
2017-12-19,0.52,0.59,0.5,0.53,0.53,279631008
2017-12-20,0.53,0.53,0.44,0.49,0.49,182924000
2017-12-21,0.49,0.52,0.46,0.48,0.48,162926000
2017-12-22,0.48,0.48,0.29,0.41,0.41,150972992
2017-12-23,0.41,0.45,0.39,0.41,0.41,88865000
2017-12-24,0.42,0.42,0.35,0.39,0.39,67372304
2017-12-25,0.39,0.44,0.36,0.42,0.42,122194000
2017-12-26,0.41,0.43,0.41,0.43,0.43,94896000
2017-12-27,0.43,0.43,0.4,0.41,0.41,82067504
2017-12-28,0.41,0.42,0.37,0.41,0.41,82263800
2017-12-29,0.41,0.56,0.4,0.53,0.53,266403008
2017-12-30,0.53,0.78,0.47,0.64,0.64,645155968
2017-12-31,0.64,0.75,0.64,0.72,0.72,305947008
2018-01-01,0.72,0.73,0.67,0.73,0.73,150186000
2018-01-02,0.72,0.79,0.7,0.78,0.78,289712000
2018-01-03,0.78,1.09,0.78,1.08,1.08,657398016
2018-01-04,1.09,1.33,1.04,1.11,1.11,593430016
2018-01-05,1.17,1.25,0.9,1.0,1.0,508100000
2018-01-06,1.0,1.05,0.93,1.03,1.03,297615008
2018-01-07,1.02,1.04,0.99,1.01,1.01,226067008
2018-01-08,1.0,1.0,0.76,0.9,0.9,264460992
2018-01-09,0.9,0.92,0.8,0.81,0.81,209492000
2018-01-10,0.82,0.82,0.68,0.79,0.79,236472000
2018-01-11,0.79,0.79,0.57,0.69,0.69,229000992
2018-01-12,0.7,0.93,0.66,0.9,0.9,365795008
2018-01-13,0.92,0.97,0.84,0.88,0.88,313215008
2018-01-14,0.88,0.88,0.75,0.8,0.8,160712000
2018-01-15,0.8,0.88,0.78,0.78,0.78,972993024
2018-01-16,0.78,0.78,0.48,0.63,0.63,1632649984
2018-01-17,0.62,0.68,0.44,0.63,0.63,1713769984
2018-01-18,0.63,0.71,0.59,0.66,0.66,1285490048
2018-01-19,0.65,0.69,0.62,0.65,0.65,584574016
2018-01-20,0.66,0.73,0.65,0.71,0.71,738798976
2018-01-21,0.71,0.71,0.59,0.61,0.61,847731008
2018-01-22,0.61,0.63,0.52,0.57,0.57,522984000
2018-01-23,0.57,0.59,0.52,0.56,0.56,375958016
2018-01-24,0.56,0.64,0.54,0.62,0.62,689838016
2018-01-25,0.63,0.68,0.62,0.64,0.64,654814016
2018-01-26,0.63,0.65,0.57,0.62,0.62,810062016
2018-01-27,0.62,0.63,0.6,0.62,0.62,331308992
2018-01-28,0.62,0.68,0.62,0.67,0.67,325145984
2018-01-29,0.67,0.67,0.62,0.62,0.62,238318000
2018-01-30,0.62,0.62,0.52,0.53,0.53,359622016
2018-01-31,0.53,0.55,0.47,0.52,0.52,505904000
2018-02-01,0.52,0.54,0.41,0.42,0.42,595624000
2018-02-02,0.42,0.42,0.27,0.39,0.39,1438809984
2018-02-03,0.4,0.5,0.33,0.44,0.44,1404499968
2018-02-04,0.43,0.48,0.37,0.38,0.38,814753984
2018-02-05,0.39,0.4,0.32,0.33,0.33,658547968
2018-02-06,0.33,0.38,0.27,0.37,0.37,1338390016
2018-02-07,0.37,0.38,0.33,0.34,0.34,679744000
2018-02-08,0.34,0.37,0.34,0.36,0.36,346383008
2018-02-09,0.35,0.39,0.34,0.39,0.39,401271008
2018-02-10,0.39,0.46,0.39,0.41,0.41,951824000
2018-02-11,0.41,0.41,0.36,0.37,0.37,331944000
2018-02-12,0.37,0.39,0.37,0.38,0.38,243039008
2018-02-13,0.38,0.39,0.36,0.37,0.37,225695008
